ACADEMIC_train_0_de	give me back the PVLDB homepage.	return homepages ;return #1 of  PVLDB	['select', 'filter']	train
ACADEMIC_train_1_de	"give me back the homepage of ""H. V. Jagadish""."	return homepages ;return #1 of  H. V. Jagadish	['select', 'filter']	train
ACADEMIC_train_10_de	"Give me back the number of references from ""Make database systems usable""."	return references ;return #1 of  Making database systems usable ;return number of  #2	['select', 'filter', 'aggregate']	train
ACADEMIC_train_100_de	"Give me the number of contributions in the VLDB conference with the keyword ""Information Retrieval""."	return papers ;return #1 in VLDB conference ;return #2 containing keyword Information Retrieval ;return number of  #3	['select', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_101_de	"Please return the number of authors whose articles contain the keyword ""relational database""."	return papers ;return #1 containing keyword Relational Database ;return authors of  #2 ;return number of  #3	['select', 'filter', 'project', 'aggregate']	train
ACADEMIC_train_102_de	"Give me back the total citations of the articles with the keyword ""Natural Language""."	return papers ;return #1 containing keyword Natural Language ;return citations of  #2 ;return number of  #3	['select', 'filter', 'project', 'aggregate']	train
ACADEMIC_train_103_de	Give me back the number of the organizations.	return organizations ;return number of  #1	['select', 'aggregate']	train
ACADEMIC_train_104_de	"Give me back the number of organizations in ""North America""."	return organizations ;return #1 in North America ;return number of  #2	['select', 'filter', 'aggregate']	train
ACADEMIC_train_105_de	Give me back the number of organizations in the database area.	return Databases area ;return organizations of #1 ;return number of #2	['select', 'project', 'aggregate']	train
ACADEMIC_train_106_de	Give me the number of organizations in the Databases section of North America.	return organizations ;return #1 in Databases area ;return #2 located in North America ;return number of  #3	['select', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_107_de	"give me back the number of papers in ""University of Michigan""."	return University of Michigan ;return papers in #1 ;return number of #2	['select', 'project', 'aggregate']	train
ACADEMIC_train_108_de	"Give me the number of articles in ""University of Michigan"" in the ""Databases"" section."	return papers ;return #1 in University of  Michigan ;return #2 in Databases area ;return number of  #3	['select', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_109_de	"give me back the number of papers after 2000 at the ""University of Michigan""."	return papers ;return #1 after 2000 ;return #2 in University of  Michigan ;return number of  #3	['select', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_11_de	"Give me back the number of quotes from ""Make database systems usable""."	return citations ;return #1 of  Making database systems usable ;return number of  #2	['select', 'filter', 'aggregate']	train
ACADEMIC_train_110_de	"Give me back the number of papers in the VLDB conference at the ""University of Michigan""."	return papers ;return #1 VLDB conference ;return #2 in University of  Michigan ;return number of  #3	['select', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_111_de	"Give me back the number of entries in PVLDB at the ""University of Michigan""."	return papers ;return #1 in PVLDB ;return #2 in University of  Michigan ;return the  number of  #3	['select', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_112_de	"Give me the number of articles in the VLDB after 2000 at the ""University of Michigan""."	return papers ;return #1 in VLDB ;return #2 from  after 2000 ;return #3 in University of  Michigan ;return number of  #4	['select', 'filter', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_113_de	"Return the number of articles in PVLDB after 2000 to the ""University of Michigan""."	return papers ;return #1 in PVLDB ;return #2 after 2000 ;return #3 in University of  Michigan ;return number of  #4	['select', 'filter', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_114_de	"Give me back the total citations of the articles in ""University of Michigan""."	return papers ;return #1 in University of  Michigan ;return citations of  #2 ;return number of  #3	['select', 'filter', 'project', 'aggregate']	train
ACADEMIC_train_115_de	"Give me back the number of researchers at the ""University of Michigan""."	return University of Michigan ;return researchers of #1 ;return number of #2	['select', 'project', 'aggregate']	train
ACADEMIC_train_116_de	Give me back the number of researchers in the University of Michigan database.	return researchers ;return #1 in University of  Michigan ;return #2 in area Databases ;return number of  #3	['select', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_117_de	Give me back the number of authors who have articles in PVLDB.	return PVLDB ;return papers in #1 ;return authors of #2 ;return number of #3	['select', 'project', 'project', 'aggregate']	train
ACADEMIC_train_118_de	Give me back the number of authors who have contributed to the VLDB conference.	return papers ;return #1 from  VLDB conference ;return authors of  #2 ;return number of  #3	['select', 'filter', 'project', 'aggregate']	train
ACADEMIC_train_119_de	Give me back the number of articles published on PVLDB before 2000.	return papers ;return #1 published on  PVLDB ;return #2 before 2000 ;return number of  #3	['select', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_12_de	"Give me back the year in which ""database systems are made usable""."	return Making database systems usable ;return year of  #1	['select', 'project']	train
ACADEMIC_train_120_de	Give me back the number of papers that were published at the VLDB conference before 2000.	return VLDB conference ;return papers published in #1 ;return #2 before 2000 ;return number of #3	['select', 'project', 'filter', 'aggregate']	train
ACADEMIC_train_121_de	Give me back the total citations of all articles in PVLDB.	return papers ;return #1 in PVLDB ;return citations of #2 ;return the number of #3	['select', 'filter', 'project', 'aggregate']	train
ACADEMIC_train_122_de	Give me the citations of the individual articles in PVLDB.	return PVLDB ;return papers of #1 ;return citations of #2	['select', 'project', 'project']	train
ACADEMIC_train_123_de	Give me back the total citations of the articles in PVLDB from 2005.	return papers ;return #1 from  PVLDB ;return #2 in 2005 ;return citations of  #3 ;return number of  #4	['select', 'filter', 'filter', 'project', 'aggregate']	train
ACADEMIC_train_124_de	Give me back the total citations of the articles in PVLDB before 2005.	return papers ;return #1 from  PVLDB ;return #2 before 2005 ;return citations of  #3 ;return number of  #4 for each  #3 ;return sum of  #5	['select', 'filter', 'filter', 'project', 'group', 'aggregate']	train
ACADEMIC_train_125_de	Give me back the total citations of the posts in PVLDB every year.	return papers ;return #1 in PVLDB ;return citations of #2 ;return number of  #3 for each year	['select', 'filter', 'project', 'group']	train
ACADEMIC_train_126_de	Give me back the number of articles published in PVLDB per year.	return papers ;return #1 published in PVLDB ;return number of  #2 for each  year	['select', 'filter', 'group']	train
ACADEMIC_train_127_de	Give me back the total quotes of all contributions from the VLDB conference.	return papers ;return #1 from  VLDB conference ;return citations of  #2 ;return number of  #3 for each  #2 ;return sum of  #4	['select', 'filter', 'project', 'group', 'aggregate']	train
ACADEMIC_train_128_de	Send me the citations of the individual articles in the VLDB conference.	return the  VLDB conference ;return papers of #1 ;return citations of #2	['select', 'project', 'project']	train
ACADEMIC_train_129_de	Give me back the overall quotes from the VLDB conference contributions in 2005.	return papers ;return #1 from  VLDB conference ;return #2 in 2005 ;return citations of  #3 ;return number of  #4 for each  #3 ;return sum of  #5	['select', 'filter', 'filter', 'project', 'group', 'aggregate']	train
ACADEMIC_train_13_de	give me back the paper with more than 200 quotes.	return papers ;return citations of #1 ;return number of  #2 for each  #1 ;return #3 where citations is  more than 200	['select', 'project', 'group', 'filter']	train
ACADEMIC_train_130_de	Give me back the overall quotes from the pre-2005 VLDB papers.	return papers ;return #1 in the  VLDB conference ;return #2 before 2005 ;return citations of #3 ;return number of  #4 for each  #3 ;return sum #4	['select', 'filter', 'filter', 'project', 'group', 'aggregate']	train
ACADEMIC_train_131_de	Give me back the overall citations of the VLDB conference contributions every year.	return papers ;return #1 in the  VLDB conference ;return citations of #2 ;return number of  #3 for each year	['select', 'filter', 'project', 'group']	train
ACADEMIC_train_132_de	Give me back the number of papers that were published each year at the VLDB conference.	return papers ;return #1 that  are published in the  VLDB conference ;return number of  #2 for each year	['select', 'filter', 'group']	train
ACADEMIC_train_133_de	"Give me back the authors who have worked with both ""H. V. Jagadish"" and ""Divesh Srivastava""."	return H. V. Jagadish ;return Divesh Srivastava ;return authors who  have cooperated with both of #1 and  #2	['select', 'select', 'intersection']	train
ACADEMIC_train_134_de	"Give me back the authors who worked with ""H. V. Jagadish"" or ""Divesh Srivastava""."	return authors ;return #1 that  have cooperated with  H. V. Jagadish ;return #1 that  have cooperated with  Divesh Srivastava ;return #2 ,  #3	['select', 'filter', 'filter', 'union']	train
ACADEMIC_train_135_de	"Give me back the authors who worked with ""H. V. Jagadish"" after 2000."	return authors ;return #1 who  have  cooperated with H. V. Jagadish ;return #2 after 2000	['select', 'filter', 'filter']	train
ACADEMIC_train_136_de	"give me back the papers from ""H. V. Jagadish"" and ""Divesh Srivastava""."	return papers ;return #1 that  are  written by H. V. Jagadish ;return #1 that  are  written by Divesh Srivastava ;return #1 in both #2 and  #3	['select', 'filter', 'filter', 'intersection']	train
ACADEMIC_train_137_de	"give me back the papers that ""H. V. Jagadish"" and ""Yunyao Li"" wrote after 2005."	return papers ;return #1 written after 2005 ;return #2 by H. V. Jagadish ;return #3 by Yunyao Li	['select', 'filter', 'filter', 'filter']	train
ACADEMIC_train_138_de	"give me back the papers that ""H. V. Jagadish"" and ""Yunyao Li"" wrote on PVLDB."	return H. V. Jagadish ;return Yunyao Li ;return papers written by #1 ;return papers written by #2 ;return #3 that are on PVLDB ;return #4 that are on PVLDB ;return #5 ,  #6	['select', 'select', 'project', 'project', 'filter', 'filter', 'union']	train
ACADEMIC_train_139_de	"give me back the papers that ""H. V. Jagadish"" and ""Yunyao Li"" wrote on PVLDB after 2005."	return papers ;return #1 written by H. V. Jagadish ;return #2 and  Yunyao Li ;return #3 on  PVLDB ;return #4 after 2005	['select', 'filter', 'filter', 'filter', 'filter']	train
ACADEMIC_train_14_de	Give me back the authors who have articles in PVLDB 2010.	return authors ;return #1 who have papers in PVLDB 2010	['select', 'filter']	train
ACADEMIC_train_140_de	"Give me back the authors who worked with ""H. V. Jagadish""."	return authors ;return #1 who  have  cooperated with H. V. Jagadish	['select', 'filter']	train
ACADEMIC_train_141_de	"give me back the papers written before 2000 by ""H. V. Jagadish"" and ""Divesh Srivastava""."	return papers ;return #1 written by H. V. Jagadish ;return #1 written by Divesh Srivastava ;return #1 in both #2 and  #3 ;return #4 before 2000	['select', 'filter', 'filter', 'intersection', 'filter']	train
ACADEMIC_train_142_de	"Give me back the authors who quoted the articles by ""H. V. Jagadish""."	return H. V. Jagadish ;return papers of  #1 ;return authors who  cited #2	['select', 'project', 'project']	train
ACADEMIC_train_143_de	"Give me back the number of articles written by ""H. V. Jagadish"" and ""Divesh Srivastava""."	return papers ;return #1 written by H. V. Jagadish ;return #1 written by Divesh Srivastava ;return #1 of  both #2 and  #3 ;return number of  #4	['select', 'filter', 'filter', 'intersection', 'aggregate']	train
ACADEMIC_train_144_de	"Give me back the number of articles written by ""H. V. Jagadish"" and ""Divesh Srivastava"" before 2000."	return papers ;return #1 written before 2000 ;return #2 by H. V. Jagadish ;return #3 by Divesh Srivastava ;return number of  #4	['select', 'filter', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_145_de	"Give me back the number of articles written by ""H. V. Jagadish"", ""Yunyao Li"" and ""Cong Yu""."	return papers ;return #1 written by H. V. Jagadish ;return #2 written by Yunyao Li ;return #3 written by Cong Yu ;return number of  #4	['select', 'filter', 'filter', 'filter', 'aggregate']	train
ACADEMIC_train_146_de	"Give me back the number of authors who have worked with ""H. V. Jagadish""."	return authors ;return #1 who  have  cooperated with H. V. Jagadish ;return number of  #2	['select', 'filter', 'aggregate']	train
ACADEMIC_train_147_de	"Give me back the number of authors who have quoted the articles by ""H. V. Jagadish""."	return papers ;return #1 by H. V. Jagadish ;return authors who  cited #2 ;return number of  #3	['select', 'filter', 'project', 'aggregate']	train
ACADEMIC_train_148_de	"give me back the papers of ""H. V. Jagadish"" and ""Divesh Srivastava"" with more than 200 quotes."	return papers ;return #1 written by H. V. Jagadish ;return #1 written by Divesh Srivastava ;return #1 of both #2 and #3 ;return citations of #4 ;return number of  #5 for each #4 ;return #4 where #6 is  higher than 200	['select', 'filter', 'filter', 'intersection', 'project', 'group', 'comparative']	train
ACADEMIC_train_15_de	Give me back the authors who have articles in PVLDB after 2010.	return PVLDB ;return papers in #1 ;return #2 after 2010 ;return authors of #3	['select', 'project', 'filter', 'project']	train
ACADEMIC_train_150_de	"Send me back the conference that contains the most contributions with the keyword ""relational database""."	return conferences ;return papers of #1 ;return keywords of #2 ;return #2 where #3 is  Relational Database ;return number of  #4 for each #1 ;return #1 where #5 is  highest	['select', 'project', 'project', 'comparative', 'group', 'superlative']	train
ACADEMIC_train_151_de	"Give me back the diary where most of the articles contain the keyword ""relational database""."	return journal ;return papers ;return #2 with  keyword Relational Database ;return number of  #3 for each #1 ;return #1 where #4 is  highest	['select', 'select', 'filter', 'group', 'superlative']	train
ACADEMIC_train_152_de	"Please return the number of authors who have more than 10 articles with the keyword ""relational database""."	return authors ;return papers of  #1 ;return #2 containing keyword Relational Database ;return #1 where #3 is  more than 10 ;return number of  #4	['select', 'project', 'filter', 'comparative', 'aggregate']	train
ACADEMIC_train_153_de	"Return the number of conferences that contain more than 60 articles with the keyword ""relational database""."	return conferences ;return papers of #1 ;return keywords in #2 ;return #2 where #3 is  Relational Database ;return number of #4 for each #1 ;return #1 where #5 is  higher than 60	['select', 'project', 'project', 'comparative', 'group', 'comparative']	train
ACADEMIC_train_154_de	"Return the number of magazines that contain more than 60 articles with the keyword ""relational database""."	return journals ;return papers in #1 ;return #2 that  contain the  keyword Relational Database ;return the  number of  #3 for each #1 ;return #1 where #4 is  more than  60 ;return the  number of  #5	['select', 'project', 'filter', 'group', 'comparative', 'aggregate']	train
ACADEMIC_train_155_de	"Please return the number of authors who have more than 10 articles with the keyword ""relational database""."	return authors ;return papers of  #1 ;return keywords in #2 ;return #2 where #3 contain Relational Database ;return number of  #4 for each  #1 ;return #1 where #5 is  higher than 10 ;return number of  #6	['select', 'project', 'project', 'comparative', 'group', 'comparative', 'aggregate']	train
ACADEMIC_train_156_de	"Return the number of conferences that contain more than 60 articles with the keyword ""relational database""."	return conferences ;return papers of #1 ;return keywords in #2 ;return #2 where #3 contain Relational Database ;return number of  #4 for each #2 ;return #1 where #5 is  higher than 60 ;return number of  #6	['select', 'project', 'project', 'comparative', 'group', 'comparative', 'aggregate']	train
ACADEMIC_train_157_de	"Return the number of magazines that contain more than 60 articles with the keyword ""relational database""."	return journals ;return papers in #1 ;return #2 containing keyword Relational Database ;return number of  #3 for each  #1 ;return #1 where #4 is  more than 60 ;return number of  #5	['select', 'project', 'filter', 'group', 'comparative', 'aggregate']	train
ACADEMIC_train_158_de	Give me back the number of keywords contained in more than 100 VLDB conference articles.	return papers ;return #1 in VLDB conference ;return keywords in #2 ;return number of  #2 for each  #3 ;return #3 where #4 is  more than 100	['select', 'filter', 'project', 'group', 'comparative']	train
ACADEMIC_train_159_de	Give me back the number of keywords contained in more than 100 articles in PVLDB.	return keywords ;return papers that  contained #1 ;return #2 in PVLDB ;return number of  #3 for each #1 ;return #1 where #4 is  higher than 100	['select', 'project', 'filter', 'group', 'comparative']	train
ACADEMIC_train_16_de	Give me back the authors who contributed to the VLDB conference in 2002.	return papers ;return #1 in VLDB conference ;return #2 in 2002 ;return authors of  #3	['select', 'filter', 'filter', 'project']	train
ACADEMIC_train_160_de	"Give me back the number of keywords contained in more than 10 articles by ""H. V. Jagadish""."	return H. V. Jagadish ;return papers of #1 ;return keywords of #2 ;return number of  #2 for each #3 ;return #3 where #4 is higher than 10 ;return number of  #5	['select', 'project', 'project', 'group', 'comparative', 'aggregate']	train
ACADEMIC_train_161_de	Give me back the keyword that was in most of the VLDB conference papers.	return papers ;return #1 in VLDB conference ;return keywords in #2 ;return number of  #2 for each  #3 ;return #3 where  #4 is highest	['select', 'filter', 'project', 'group', 'superlative']	train
ACADEMIC_train_162_de	Give me back the keyword that was in most of the articles in PVLDB.	return papers ;return #1 in PVLDB ;return keywords contained in #2 ;return number of  #2 for each  #3 ;return #3 where  #4 is highest	['select', 'filter', 'project', 'group', 'superlative']	train
ACADEMIC_train_163_de	give me back the keyword that was in most of H. V. Jagadish's articles.	return H. V. Jagadish ;return papers of #1 ;return keywords of #2 ;return number of  #2 for each #3 ;return #3 where #4 is the  highest	['select', 'project', 'project', 'group', 'comparative']	train
ACADEMIC_train_164_de	"Send me back the diary that contains most of the articles with the keyword ""relational database""."	return journals ;return papers of #1 ;return keywords of #2 ;return #2 where #3 is  Relational Database ;return number of  #2 for each #1 ;return #1 where #5 is  highest	['select', 'project', 'project', 'comparative', 'group', 'superlative']	train
ACADEMIC_train_165_de	"Send me back the conference that contains the most contributions with the keyword ""relational database""."	return conferences ;return papers of  #1 ;return keywords of  #2 ;return #2 where #3 is  Relational Database ;return number of  #4 for each  #1 ;return #1 where #5 is  highest	['select', 'project', 'project', 'comparative', 'group', 'superlative']	train
ACADEMIC_train_166_de	"Give me back the author who has most of the articles with the keyword ""relational database""."	return authors ;return papers of #1 ;return keywords of #2 ;return #2 where #3 is  Relational Database ;return number of  #4 for each #1 ;return #1 where #5 is  highest	['select', 'project', 'project', 'comparative', 'group', 'superlative']	train
ACADEMIC_train_167_de	"Give me back the author of the ""University of Michigan"" whose article contains the most quotes."	return authors ;return papers of  #1 ;return #2 where #1 is  in the  University of  Michigan ;return citations of  #3 ;return sum of  #4 for each  #3 ;return #1 where #5 is  highest	['select', 'project', 'comparative', 'project', 'group', 'superlative']	train
ACADEMIC_train_168_de	"Give me back the author of the ""University of Michigan"" whose article in the ""Databases"" section contains the most quotes."	return authors ;return #1 in the   University of Michigan ;return papers of #2 ;return #3 that  are in Databases area ;return citations of #4 ;return the   number of  #5 for each #4 ;return the   sum of #6 for each #2 ;return #2 where #7 is  the   highest	['select', 'filter', 'project', 'filter', 'project', 'group', 'group', 'comparative']	train
ACADEMIC_train_169_de	"return the papers from ""H. V. Jagadish"" and ""Divesh Srivastava"" with the most quotes."	return papers ;return #1 written by H. V. Jagadish ;return #1 written by Divesh Srivastava ;return #1 in both #2 and  #3 ;return citations of  #4 ;return number of  #5 for each  #4 ;return #4 where #6 is highest	['select', 'filter', 'filter', 'intersection', 'project', 'group', 'superlative']	train
ACADEMIC_train_17_de	Give me back the authors who contributed to the VLDB conference before 2002.	return states ;return #1 with the   smallest area ;return the  population density of  #2	['select', 'filter', 'project']	train
ACADEMIC_train_170_de	"Give me back the conferences that contain more than 10 contributions from ""H. V. Jagadish""."	return conferences ;return papers of #1 ;return #2 by H. V. Jagadish ;return number of #3 for each #1 ;return #1 where #4 is  higher than 10	['select', 'project', 'filter', 'group', 'comparative']	train
ACADEMIC_train_171_de	"Send me back the conference that contains the most contributions from ""H. V. Jagadish""."	return conferences ;return papers of #1 ;return #2 that are by H. V. Jagadish ;return number of  #3 for each #1 ;return #1 where #4 is the  highest	['select', 'project', 'filter', 'group', 'comparative']	train
ACADEMIC_train_172_de	"return the magazines containing more than 10 articles by ""H. V. Jagadish""."	return papers ;return #1 by H. V. Jagadish ;return journals with #2 ;return number of  #2 for each  #3 ;return #3 where #4 is  more than 10	['select', 'filter', 'project', 'group', 'comparative']	train
ACADEMIC_train_173_de	"give me back the diary that contains most of the articles by ""H. V. Jagadish""."	return papers ;return #1 by H. V. Jagadish ;return journals of #2 ;return number of  #2 for each  #3 ;return #3 where #4 is  highest	['select', 'filter', 'project', 'group', 'superlative']	train
ACADEMIC_train_174_de	give me back the paper with the most quotes.	return papers ;return citations of  #1 ;return number of  #2 for each  #1 ;return #1 where #3 is  highest	['select', 'project', 'group', 'superlative']	train
ACADEMIC_train_175_de	"Send me the paper with the most citations in the ""Databases"" section."	return papers ;return #1 in Databases area ;return number of  citations for each  #2 ;return #1 where #3 is  highest	['select', 'filter', 'group', 'superlative']	train
ACADEMIC_train_176_de	return the paper with the most quotes to me in PVLDB.	return papers ;return #1 in PVLDB ;return citations of  #2 ;return number of  #3 for each #2 ;return #2 where #4 is  highest	['select', 'filter', 'project', 'group', 'superlative']	train
ACADEMIC_train_177_de	Send me the paper with the most quotes at the VLDB conference.	return paper ;return #1 in VLDB conference ;return citations of  #2 ;return number of  #3 for each #2 ;return #2 where #4 is  highest	['select', 'filter', 'project', 'group', 'superlative']	train
ACADEMIC_train_178_de	"return the paper from ""H. V. Jagadish"" with the most quotes."	return papers ;return #1 by H. V. Jagadish ;return citations of  #2 ;return number of  #3 for each #2 ;return #2 where #4 is  highest	['select', 'filter', 'project', 'group', 'superlative']	train
ACADEMIC_train_179_de	give me back the paper with the most quotes after 2000.	return papers ;return #1 after 2000 ;return citations of  #2 ;return number of  #3 for each  #2 ;return #2 where #4 is  highest	['select', 'filter', 'project', 'group', 'superlative']	train
